"Data Import Template"
"Table:","Item"
""
""
"Notes:"
"Please do not change the template headings."
"First data column must be blank."
"If you are uploading new records, leave the ""name"" (ID) column blank."
"If you are uploading new records, ""Naming Series"" becomes mandatory, if present."
"Only mandatory fields are necessary for new records. You can delete non-mandatory columns if you wish."
"For updating, you can update only selective columns."
"You can only upload upto 5000 records in one go. (may be less in some cases)"
""
"DocType:","Item","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","~","UOM Conversion Detail","uoms","","","","~","Item Barcode","barcodes","","","","","~","Item Reorder","reorder_levels","","","","","","","~","Item Variant Attribute","attributes","","","","","","","","","","~","Item Default","item_defaults","","","","","","","","","","","","","","~","Item Supplier","supplier_items","","","","~","Item Customer Detail","customer_items","","","","","~","Item Tax","taxes","","","","","",""
"Column Labels:","ID","Item Code","Item Group","Default Unit of Measure","Created On","Created By","Item Name","Spec Sheet","Duty","VAT","Disabled","Allow Alternative Item","warranty","Maintain Stock","Has Variants","Opening Stock","Valuation Rate","Standard Selling Rate","Is Fixed Asset","Auto Create Assets on Purchase","Create Grouped Asset","Asset Category","Asset Naming Series","Over Delivery/Receipt Allowance (%)","Over Billing Allowance (%)","Description","Brand","Shelf Life In Days","End of Life","Default Material Request Type","Valuation Method","Warranty Period (in days)","Weight Per Unit","Weight UOM","Allow Negative Stock","Has Batch No","Automatically Create New Batch","Batch Number Series","Has Expiry Date","Retain Sample","Max Sample Quantity","Has Serial No","Serial Number Series","Variant Of","Variant Based On","Enable Deferred Expense","No of Months (Expense)","Enable Deferred Revenue","No of Months (Revenue)","Default Purchase Unit of Measure","Minimum Order Qty","Safety Stock","Allow Purchase","Lead Time in days","Last Purchase Rate","Is Customer Provided Item","Customer","Delivered by Supplier (Drop Ship)","Country of Origin","Customs Tariff Number","Default Sales Unit of Measure","Grant Commission","Allow Sales","Max Discount (%)","Inspection Required before Purchase","Quality Inspection Template","Inspection Required before Delivery","Include Item In Manufacturing","Supply Raw Materials for Purchase","Default BOM","Default Item Manufacturer","Default Manufacturer Part No","","ID","Created On","Created By","UOM","Conversion Factor","","ID","Barcode","Created On","Created By","Barcode Type","UOM","","ID","Request for","Material Request Type","Created On","Created By","Check in (group)","Re-order Level","Re-order Qty","","ID","Attribute","Created On","Created By","Variant Of","Attribute Value","Numeric Values","Disabled","From Range","Increment","To Range","","ID","Company","Created On","Created By","Default Warehouse","Default Price List","Default Discount Account","Default Buying Cost Center","Default Supplier","Default Expense Account","Default Provisional Account","Default Selling Cost Center","Default Income Account","Deferred Expense Account","Deferred Revenue Account","","ID","Supplier","Created On","Created By","Supplier Part Number","","ID","Ref Code","Created On","Created By","Customer Name","Customer Group","","ID","Item Tax Template","Created On","Created By","Tax Category","Valid From","Minimum Net Rate","Maximum Net Rate"
"","""WPG160""","WPG160","Generator","Unit","2025-05-29 10:11:04.551165","takunda@industrial-exchange.group","WPG160","",0,0,0,0,"1000 Hours or 1 Year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>160kVA Weichai Silent Generator Set</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""tr1jba5bno""","2025-05-29 10:11:04.579504","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ukb9i2m6ae""","Machinery Exchange","2025-05-29 10:11:04.581630","takunda@industrial-exchange.group","Finished Goods - ME","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG165""","WPG165","Generator","Nos","2025-09-03 17:15:53.735506","Administrator","WPG165","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>165Kva Weichai Silent Generator</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""arofviohia""","2025-09-03 17:15:53.735506","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ej4qjgdic0""","Sinopower","2025-09-03 17:15:53.735506","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ivkcih04fe""","Machinery Exchange","2026-04-14 15:18:54.622924","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG220""","WPG220","Generator","Nos","2025-09-03 17:16:13.164650","Administrator","WPG220","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>220Kva Weichai Silent Generator</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""97640aivgu""","2025-09-03 17:16:13.164650","Administrator","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""kh7v3ji2n4""","Sinopower","2025-09-03 17:16:13.164650","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""nq0gqci24i""","Machinery Exchange","2026-02-22 06:31:07.210157","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG275""","WPG275","Generator","Nos","2025-08-01 13:26:20.554031","rental@machinery-exchange.com","WPG275","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>275Kva Weichai Silent Generator</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""cmo9p6qrpp""","2025-08-01 13:26:20.620345","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""krmfp4915g""","Sinopower","2025-08-01 13:26:20.621923","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6unf9upvh4""","Machinery Exchange","2026-02-10 15:38:07.593065","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG28""","WPG28","Generator","Nos","2026-04-29 08:21:50.926080","rental@machinery-exchange.com","WPG28","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>28Kva Weichai Silent Generator</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""7vc7unbekn""","2026-04-29 08:21:50.978046","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""qcd5j8fk4o""","Sinopower","2026-04-29 08:21:50.979099","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""k7m4f2gmhl""","Machinery Exchange","2026-04-29 08:22:51.339731","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG350""","WPG350","Generator","Nos","2025-09-17 11:02:48.809796","rental@machinery-exchange.com","WPG350","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>350Kva Weichai Silent Generator</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""uf8dlcbhj1""","2025-09-17 11:02:48.839452","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""vekk5p223d""","Sinopower","2025-09-17 11:02:48.840687","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""vq7fi56dlf""","Machinery Exchange","2026-01-26 11:45:56.780640","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG440""","WPG440","Generator","Nos","2025-09-29 13:26:05.819388","rental@machinery-exchange.com","WPG440","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>440Kva Weichai Silent Generator, Closed Frame</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""00ne4rrou5""","2025-09-29 13:26:05.875204","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""so1an0pt0f""","Sinopower","2025-09-29 13:26:05.880272","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""b0jmq9ur9j""","Machinery Exchange","2025-12-11 10:10:26.260275","sales.humphrey@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG55""","WPG55","Generator","Nos","2026-02-26 14:16:41.654191","rental@machinery-exchange.com","WPG55","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>55Kva Weichai Silent Generator</p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""sh946drq6l""","2026-02-26 14:16:41.747689","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""tj1p8sfvrs""","Sinopower","2026-02-26 14:16:41.752149","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""v74icbks1u""","Machinery Exchange","2026-02-26 15:29:33.090315","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG70""","WPG70","Generator","Unit","2025-05-29 10:02:52.842796","takunda@industrial-exchange.group","WPG70","",0,0,0,0,"1000 Hours or 1 Year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>70 kVA Weichai Silent Generator, Closed Frame</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""erltff4197""","2025-05-29 10:02:52.864652","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""3e1qmf7ccp""","Machinery Exchange","2025-05-29 10:02:52.865500","takunda@industrial-exchange.group","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""n0f1mv1ci5""","Sinopower","2025-07-03 17:00:45.527673","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG700""","WPG700","Generator","Nos","2025-07-04 13:34:42.176973","rental@machinery-exchange.com","WPG700","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>700Kva Weichai Silent Generator</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""e28fp7b88o""","2025-07-04 13:34:42.287816","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""bidcu70mp5""","Sinopower","2025-07-04 13:34:42.295881","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG750""","WPG750","Generator","Nos","2025-07-31 13:21:11.190962","rental@machinery-exchange.com","WPG750","",0,0,0,0,"1500 or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>750Kva Weichai Silent Generator</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""qavpe1oq4n""","2025-07-31 13:21:11.276006","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""6hmr29mh4c""","Sinopower","2025-07-31 13:21:11.277219","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG825""","WPG825","Generator","Unit","2025-05-29 10:07:35.459469","takunda@industrial-exchange.group","WPG825","/files/WPG825-7.pdf",0,0,0,0,"1000 Hours or 1 Year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>825kVA Weichai Silent Generator Set.</p></div>","Weichai",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""5v8od325ai""","2025-05-29 10:07:35.481024","takunda@industrial-exchange.group","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""3epvetf681""","Sinopower","2025-05-29 10:07:35.481830","takunda@industrial-exchange.group","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""phlr0ihadj""","Machinery Exchange","2026-05-05 16:25:58.147961","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WPG88""","WPG88","Generator","Nos","2025-09-18 12:46:46.677116","rental@machinery-exchange.com","WPG88","",0,0,0,0,"1000 hours or 1 year",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>88Kva Weichai Silent Generator, Closed Frame</p></div>","",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""tiqsa41pja""","2025-09-18 12:46:46.718916","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""civ8rmm8rb""","Sinopower","2025-09-18 12:46:46.723570","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ckelbc8m36""","Machinery Exchange","2025-09-18 12:48:39.648089","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WR2000""","WR2000","Recycler","Nos","2026-05-19 16:34:30.912571","rental@machinery-exchange.com","WR2000","/files/Wirtgen WR2000 Specification pdf_1 (1).pdf",0,0,0,0,"TBA",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p> Working Width	2,000 mm, Working Depth Up to 500 mm, Engine	Mercedes-Benz, OM460/OM457, Engine Power	315 kW, Operating Weight	25 – 29 tons, Tyre Size	620/75 R26 ,Transport Width 2.55m, Transport Height 3.0 m, Fuel Tank Capacity 900 L, Drive System	All-wheel drive</p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""j53iech9oi""","2026-05-19 16:34:31.050414","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""gq75mbac1a""","Sinopower","2026-05-19 16:34:31.054075","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""3ei6pu2lnk""","Machinery Exchange","2026-05-19 16:42:29.597794","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WR200X""","WR200X","Recycler","Nos","2026-06-01 15:46:19.916091","rental@machinery-exchange.com","WR200X","/files/WR_Series_Brochure_Datasheet_ENGB (1).pdf",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Working Width: 2,000 mm; Working Depth: 500 mm; Engine: Mercedes-Benz Diesel OM460 LA; Rated Power: 305–316 kW (415–430 HP); Maximum Power: 315–320 kW (428–435 HP); Operating Weight: 24.2–24.5 t; Ground Clearance: 400 mm; Travel Speed: 0–210 m/min; Tyres: 620/75 R26; Maximum Side Slope: 8°</p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""tuqsl2doku""","2026-06-01 15:46:19.960668","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""84lirhi87v""","Sinopower","2026-06-01 15:46:19.962027","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""47euusjkqd""","Machinery Exchange","2026-06-02 14:07:11.947685","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WR240""","WR240","Recycler","Unit","2025-05-08 10:39:47.793192","Administrator","WR240","",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p><strong>Wirtgen WR240 Recycler </strong></p><p>Working Width: 2400 mm, Working Depth: 0-510 mm, Two Bar Spraying system, Engine Power: 455kw /610Hp/ 619PS (1900min -1), Euro 3 Emissions, Operating Weight: 30 000kgs</p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""tgfrk7n192""","2025-05-09 11:13:04.092042","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""2h1h21m0eu""","Sinopower","2025-05-08 10:39:47.812826","Administrator","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WR240X""","WR240X","Recycler","Nos","2025-07-28 11:13:39.239721","rental@machinery-exchange.com","WR240X","",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Engine: Cummins QSX-15 Working Width: 2400 mm, Working Depth: 0-510 mm, Dual Spraying system, Engine Power: 455kw /610Hp/ 619PS (1900min -1), Euro 3 Emissions, Operating Weight: 30 000kgs, DURAFORCE milling and mixing rotor FB2400 HT22 LA20 D22 with 163 round-shank picks, John Deere Operations Center: Digital solutions for optimising processes, machines, and services,  Rear view camera with graphic reverse assist,  3"" water or emulsion suction hose, 5,000 LG - tanker connection ,  High-pressure water cleaner at 150 bars and 15 l/min, Milling drum rotation device</p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""u64sm736cu""","2025-07-28 11:13:39.317501","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""k5180fct4m""","Sinopower","2025-07-28 11:13:39.321574","rental@machinery-exchange.com","Stores - SP","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""gr3chlegp2""","Machinery Exchange","2026-02-11 16:28:15.944590","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WR65Y""","WR65Y","Roller","Unit","2025-05-08 10:39:47.827182","Administrator","Walk Behind Roller - WR65Y","/files/Walk-Behind-Rollers Specs Sheet.pdf",0,0,0,0,"3000 hours or 2 years full warranty.",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Yanmar Diesel engine, 6.1kw, Fuel consumption: 1.7ltrs/hour, Centrifugal Force: 11/21 kN, Weight: 712kg, Compaction depth soil: 20/15 cm, Compaction depth sand: 30/25 cm, Working width: 650mm, 4.7ltr fuel tank, 60ltr water tank.</p></div>","Bobcat",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""7ql6tbvkl9""","2025-05-09 11:12:47.977275","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""renfqerie9""","Machinery Exchange","2025-05-08 10:39:47.841209","Administrator","Finished Goods - ME","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""1cour1716f""","Sinopower","2025-08-08 11:15:43.903164","rental@machinery-exchange.com","","","","","","","","","4110 - Sales - SP","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WRC240""","WRC240","Rock Crusher","Nos","2026-01-27 17:05:51.371069","rental@machinery-exchange.com","WRC240","",0,0,0,0,"1000 hours or 1 year full warranty",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"<div><p>Working width: 2,320 mm</p><p>Working depth: 0 - 510 mm</p><p>Engine rated output: 455 kW / 610 HP / 619 PS (1,900 rpm), Exhaust emission standard: EU Stage 3a / US EPA Tier 3, Operating weight (CE):* 33,700 kg.</p><p><br></p></div>","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"Zimbabwe","","",1,1,0.0,0,"",0,1,0,"","","","","""1nhh4s4bj1""","2026-01-27 17:05:51.398711","rental@machinery-exchange.com","Nos",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""bokq2iica4""","Sinopower","2026-01-27 17:05:51.399716","rental@machinery-exchange.com","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""ti1fuilteq""","Machinery Exchange","2026-01-27 17:07:33.945362","rental@machinery-exchange.com","","","","","","","","","Sales - ME","","","","","","","","","","","","","","","","","","","","","","","",""
"","""WRS 240X""","WRS 240X","Recycler","Unit","2025-05-08 10:39:47.858431","Administrator","WRS 240X","",0,0,0,0,"",1,0,0.0,0.0,0.0,0,0,0,"","",0.0,0.0,"WRS 240X","Wirtgen",0,"31-12-2099","Purchase","","",0.0,"",0,0,0,"",0,0,0,0,"","","Item Attribute",0,0,0,0,"",0.0,0.0,1,0,0.0,0,"",0,"","","",1,1,0.0,0,"",0,1,0,"","","","","""m4iurir9v4""","2025-05-09 11:12:31.409189","Administrator","Unit",1.0,"","","","","","","","","","","","","","","","","","","","","","","","","","","","","","""i9i39puqt4""","Sinopower","2025-05-08 10:39:47.876866","Administrator","Stores - SP","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","","",""
